danger_straight,danger_right,danger_left,dir_left,dir_right,dir_up,dir_down,food_left,food_right,food_up,food_down,speed,score
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,1,0,0,1,0,1,0,7,0
0,0,0,0,0,1,0,1,0,1,0,7,0
0,0,0,0,0,1,0,1,0,1,0,7,0
0,0,0,0,0,1,0,1,0,1,0,7,0
0,0,0,0,0,1,0,1,0,1,0,7,0
0,0,0,1,0,0,0,1,0,1,0,7,0
0,0,0,1,0,0,0,1,0,1,0,7,0
0,0,0,1,0,0,0,1,0,1,0,7,0
0,0,0,1,0,0,0,1,0,1,0,7,0
0,0,0,0,0,1,0,1,0,0,0,7,0
0,0,0,0,0,1,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,1,0,0,1,7,0
0,0,0,1,0,0,0,0,0,0,1,7,0
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,1,8,1
0,0,0,0,0,0,1,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,0,8,1
0,0,0,0,1,0,0,0,1,0,1,9,2
0,0,0,0,1,0,0,0,1,0,1,9,2
0,0,0,0,1,0,0,0,1,0,1,9,2
0,0,0,0,1,0,0,0,1,0,1,9,2
0,0,0,0,1,0,0,0,0,0,1,9,2
0,0,0,0,1,0,0,1,0,0,1,9,2
0,0,0,0,1,0,0,1,0,0,1,9,2
0,0,0,0,1,0,0,1,0,0,1,9,2
0,0,0,0,0,0,1,1,0,0,1,9,2
0,0,0,0,0,0,1,1,0,0,1,9,2
0,0,0,0,0,0,1,1,0,0,0,9,2
0,0,0,1,0,0,0,1,0,0,0,9,2
0,0,0,1,0,0,0,1,0,0,0,9,2
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,1,0,1,0,10,3
1,0,0,1,0,0,0,0,0,1,0,10,3
1,1,1,1,0,0,0,0,1,1,0,10,3
